3735,Lithium
3332,Metal
305534,Organometallic chemistry
258118,Lithium-ion battery
305685,Period 1 element
257930,Lithium carbonate
327469,S-block
257932,Lithium chloride
306842,Grignard reaction
16399,Alkali metal
